data,R,Python,name,requests,memo
Select a dataset:,1,1,Example Requests:,"Example requests",
No Data,1,1,Random numbers,Generate 100 random numbers. Plot their distribution.,
No Data,1,1,Hierarchical tree,Provide a demo for hierarchical clustering tree.,
No Data,1,1,Heat map,Create a heatmap with hierarchical clustering tree.,
No Data,1,1,Ridge regression,Provide a demo for ridge regression.,
No Data,1,1,PCA,Create a matrix with 100 columns and 20 rows. Fill it with random numbers from the normal distribution. The mean is 1 for the first 10 rows but 3 for the rest. Conduct PCA. Plot using the first two principal components.	
No Data,1,1,World Map,Create a world map.,
No Data,1,1,U.S. Map,Create a U.S. map.,
No Data,1,1,Bioinformatics - genes,Use the biomaRt package to retrieve all human genes on Chr.Y. Show gene symbols.,
No Data,1,1,Bioinformatics - position,Use the biomaRt package to retrieve the gene symbol. The start and end position of all human genes on Chr.Y. Only print the first 100.,
No Data,1,1,Bioinformatics - length,Use the biomaRt package to retrieve the gene symbol. The start and end position of all human genes on Chr.Y. Calculate the length as the absolute difference between the start and end positions. Create a density plot of the length after log10 transformation.,
Iris,1,1,Species Distribution,Plot the distribution of iris species in a bar chart.,
Iris,1,1,Sepal Width Analysis,Show the average sepal width for each species.,
Iris,1,1,Petal Length Comparison,Create a box plot comparing petal lengths across species.,
MTCars,1,1,Engine Performance,Show me a scatter plot of horsepower vs. weight.,
MTCars,1,1,Top Fuel Efficiency,Identify the top 5 cars with the best miles per gallon (mpg).,
MTCars,1,1,Cars with 6 Cylinders,Display a bar chart of cars with 6 cylinders and their respective horsepower.,
Air Quality,1,1,Monthly Air Quality,Plot the average air quality measurements by month.,
Air Quality,1,1,Wind Speed Analysis,Show a box plot of wind speed across different months.,
Air Quality,1,1,Ozone Levels Comparison,Create a scatter plot of ozone levels vs. temperature.,
Diamonds,1,1,Price Distribution,Show me a histogram of diamond prices.,
Diamonds,1,1,Carat vs. Price,Create a scatter plot showing the relationship between carat and price.,
Diamonds,1,1,Color Quality Analysis,Plot the average price by diamond color.
CO2,1,1,CO2 Uptake by Treatment,Show a scatter plot of CO2 uptake against concentration.,
CO2,1,1,Average Uptake Analysis,Calculate the average CO2 uptake for each type of treatment.,
CO2,1,1,Visualize CO2 Uptake,Create a line chart of CO2 uptake over time for each treatment.,
Tooth Growth,1,1,Tooth Growth by Dose,Plot a bar chart of tooth length by dose.,
Tooth Growth,1,1,Difference by Supplement,Show the average tooth length for each supplement type.,
Tooth Growth,1,1,Supplement Effect Analysis,Create a box plot to compare the effects of different supplements on tooth length.,
Pressure,1,1,Pressure Variation Over Temperatures,Show a line chart of pressure changes over different temperatures.,
Pressure,1,1,Mean Pressure Calculation,Calculate the mean pressure in the dataset.,
Pressure,1,1,Pressure Distribution,Plot a histogram of the pressure values.,
